date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:43	30292/30292	---M--	200	added ('OK')	application/font-woff	etag:%22c64b4692d9d39a2fd5bd5786ad57155413f36625%22	https://use.typekit.net/af/d03e48/000000000000000077359df2/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/d03e48/000000000000000077359df2/30/de003	(from https://use.typekit.net/lae6hxw.css)
16:47:44	52536/52536	---M-Z	200	added ('OK')	font/opentype	etag:W/%22c64b4692d9d39a2fd5bd5786ad57155413f36625%22	https://use.typekit.net/af/d03e48/000000000000000077359df2/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/d03e48/000000000000000077359df2/30/ae003	(from https://use.typekit.net/lae6hxw.css)
16:47:44	29128/29128	---M--	200	added ('OK')	application/font-woff2	etag:%228de3d8c57c38875f560018b24689d36eaadf2097%22	https://use.typekit.net/af/257c86/000000000000000077359df6/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/257c86/000000000000000077359df6/30/lc150	(from https://use.typekit.net/lae6hxw.css)
16:47:44	29896/29896	---M--	200	added ('OK')	application/font-woff	etag:%228de3d8c57c38875f560018b24689d36eaadf2097%22	https://use.typekit.net/af/257c86/000000000000000077359df6/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/257c86/000000000000000077359df6/30/dc150	(from https://use.typekit.net/lae6hxw.css)
16:47:45	53104/53104	---M-Z	200	added ('OK')	font/opentype	etag:W/%228de3d8c57c38875f560018b24689d36eaadf2097%22	https://use.typekit.net/af/257c86/000000000000000077359df6/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/257c86/000000000000000077359df6/30/ac150	(from https://use.typekit.net/lae6hxw.css)
16:47:46	293/293	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Dec%202024%2009:48:27%20GMT	https://libraries.wmgartistservices.com/owlcarousel/owl.video.play.png	D:/code/CloneWeb/Brat/libraries.wmgartistservices.com/owlcarousel/owl.video.play.31.delayed	(from https://libraries.wmgartistservices.com/owlcarousel/owl.carousel.css)
16:47:47	19267/19267	---M--	404	error ('Not%20Found')	text/html	etag:%221734860908%22	https://www.bratgenerator.com/POST	D:/code/CloneWeb/Brat/www.bratgenerator.com/POST	(from http://assets.adobedtm.com/launch-EN302b8a31b75a4dda8ff8df1d0cdb4762.min.js)
16:47:49	19265/19265	---M--	404	error ('Not%20Found')	text/html	etag:%221734860909%22	https://www.bratgenerator.com/get	D:/code/CloneWeb/Brat/www.bratgenerator.com/get	(from http://assets.adobedtm.com/launch-EN302b8a31b75a4dda8ff8df1d0cdb4762.min.js)
16:47:50	215/215	---M--	404	error ('Not%20Found')	text/html	etag:%221734860910%22	https://www.bratgenerator.com/helpers/getObjectProperty.js	D:/code/CloneWeb/Brat/www.bratgenerator.com/helpers/getObjectProperty.js	(from http://assets.adobedtm.com/launch-EN302b8a31b75a4dda8ff8df1d0cdb4762.min.js)
16:47:50	19274/19274	---M--	404	error ('Not%20Found')	text/html	etag:%221734860910%22	https://www.bratgenerator.com/Trident/	D:/code/CloneWeb/Brat/www.bratgenerator.com/Trident/index.html	(from http://assets.adobedtm.com/launch-EN302b8a31b75a4dda8ff8df1d0cdb4762.min.js)
16:47:52	61408/61408	---M--	200	added ('OK')	text/javascript	etag:386282949569220296	http://www.googleadservices.com/pagead/conversion_async.js	D:/code/CloneWeb/Brat/www.googleadservices.com/pagead/f.txt	(from http://assets.adobedtm.com/launch-EN302b8a31b75a4dda8ff8df1d0cdb4762.min.js)
16:47:52	679/679	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:35:31%20GMT	https://www.bratgenerator.com/core/misc/icons/e32700/error.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/core/misc/icons/e32700/error.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_FVNBIJ3mgEdHcUr5z_jzJAq9jAxx4wz9xkynNjlH1So.css?delta=0&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:53	412/412	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:20:42%20GMT	https://www.bratgenerator.com/core/misc/icons/e29700/warning.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/core/misc/icons/e29700/warning.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_FVNBIJ3mgEdHcUr5z_jzJAq9jAxx4wz9xkynNjlH1So.css?delta=0&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
16:47:53	334/334	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2002%20Apr%202024%2006:36:08%20GMT	https://www.bratgenerator.com/core/misc/icons/73b355/check.svg	D:/code/CloneWeb/Brat/www.bratgenerator.com/core/misc/icons/73b355/check.svg	(from https://www.bratgenerator.com/sites/g/files/g2000017981/files/css/css_FVNBIJ3mgEdHcUr5z_jzJAq9jAxx4wz9xkynNjlH1So.css?delta=0&language=en&theme=bartik&include=eJxtzVsKAjEMQNENdcyShrQTSjAPaaKSWb1-iYi_hws3KpIUOga1jiv5CkMwoi5_SCkCJ0UbvgjMl6Lw-ammeEfZIkvYZnvq3P2WrHxishu8YfuGJlh-z_3gGP6gVeBGw-Xnan7QC2EXQZg)
